X,Y,fid,Name,X_ADDR,ADDRESSFLOORNUMBER,Address_Type,PHOTOURL,Y_ADDR,ADDRESSBUILDINGNAME,HYPERLINK,LANDYADDRESSPOINT,INC_CRC,SHAPE,ADDRESSPOSTALCODE,FMEL_UPD_D,ADDRESSSTREETNAME,ADDRESSUNITNUMBER,LANDXADDRESSPOINT,ADDRESSBLOCKHOUSENUMBER,DESCRIPTION
103.697404254468,1.34125970600999,HAWKERCENTRE.23,Jurong West Hawker Centre and Market,12874.19,,,,35935.6199,,,35935.62,A85BCE9D4591A35E,Point,,4/10/2017 6:09:18 PM,Jurong West Street 61,,12874.19,,
103.951543034782,1.3734341397325,HAWKERCENTRE.24,Pasir Ris Central Hawker Centre,41156.94,,,,39493.21,,,39493.21,0EC198F97AE0CB30,Point,,4/10/2017 6:09:18 PM,Pasir Ris Central,,41156.94,,
103.772489583206,1.37760053528609,HAWKERCENTRE.25,Bukit Panjang Hawker Centre and Market,21230.49,,,,39953.6699,,,39953.67,2FEB0DCCF8A48811,Point,679947,11/4/2016 2:23:25 PM,Bukit Panjang Ring Road,,21230.49,2,
103.895609494855,1.31514205052805,HAWKERCENTRE.26,Blks 13/14 Haig Road,34932.3799,,,,33047.33,,,33047.33,110148A5D7A97F26,Point,430013,11/4/2016 2:23:25 PM,Haig Road,,34932.38,13/14,HUP Reconfiguration
103.839214290038,1.37448912101911,HAWKERCENTRE.27,Blks 160/162 Ang Mo Kio Ave 4,28656.12,,,,39609.5399,,,39609.54,546287EBD5972C88,Point,560160,11/4/2016 2:23:25 PM,Ang Mo Kio Ave 4,,28656.12,160/162,HUP Standard Upgrading
103.800362825517,1.30689227608537,HAWKERCENTRE.28,Commonwealth Crescent Market,24332.33,,,,32135.05,,,32135.05,35C408FD147A8F09,Point,149644,11/16/2016 3:29:26 PM,Commonwealth Crescent,,24332.33,31,HUP Rebuilding
103.82211725658,1.27271579716653,HAWKERCENTRE.29,Blk 36 Telok Blangah Rise,26753.3799,,,,28355.97,,,28355.97,336A650E37E6A31D,Point,90036,11/16/2016 3:29:26 PM,Telok Blangah Rise,,26753.38,36,HUP Standard Upgrading
103.863883249985,1.30287548090884,HAWKERCENTRE.30,Golden Mile Food Centre,31401.57,,,,31690.89,,,31690.89,68D21092955DECEF,Point,199583,11/4/2016 2:23:25 PM,Beach Road,,31401.57,505,HUP Standard Upgrading
103.885977616903,1.35911942212666,HAWKERCENTRE.31,Kovan Market & Food Centre,33860.3399,,,,37910.0999,,,37910.1,5F6AEDB775A16726,Point,530209,11/4/2016 2:23:25 PM,Hougang Street 21,,33860.34,209,HUP Standard Upgrading
103.890081064953,1.353837391012,HAWKERCENTRE.32,Blk 105 Hougang Ave 1,34317.0199,,,,37326.05,,,37326.05,47665F14EEC58AE2,Point,530105,11/4/2016 2:23:25 PM,Hougang Ave 1,,34317.02,105,HUP Rebuilding
103.826013285715,1.28000481199016,HAWKERCENTRE.33,Blk 112 Jalan Bukit Merah,27186.98,,,,29161.9499,,,29161.95,F6CA40B9F24C50D2,Point,160112,11/4/2016 2:23:25 PM,Jalan Bukit Merah,,27186.98,112,HUP Standard Upgrading
103.822049361292,1.28550478314745,HAWKERCENTRE.34,Blk 115 Bukit Merah View,26745.83,,,,29770.1099,,,29770.11,7A2BDBF5C93ED2B6,Point,151115,11/4/2016 2:23:25 PM,Bukit Merah View,,26745.83,115,HUP Standard Upgrading
103.850225081031,1.31615991374673,HAWKERCENTRE.35,Pek Kio Market & Food Centre,29881.53,,,,33159.8,,,33159.8,FBD170F345FFFD0D,Point,211041,11/4/2016 2:23:25 PM,Cambridge Road,,29881.53,41A,HUP Reconfiguration
103.828994204342,1.3723849400215,HAWKERCENTRE.36,Sembawang Hills Food Centre,27518.75,,,,39376.8699,,,39376.87,6CC207916E06EC0B,Point,574419,11/4/2016 2:23:25 PM,Upper Thomson Road,,27518.75,590,HUP Standard Upgrading
103.807626838954,1.27336828250429,HAWKERCENTRE.37,Blk 79 Telok Blangah Drive,25140.71,,,,28428.13,,,28428.13,47E27FD77894457F,Point,100079,11/4/2016 2:23:25 PM,Telok Blangah Drive,,25140.71,79,HUP Standard Upgrading
103.887128535138,1.32784956142615,HAWKERCENTRE.38,Blk 80 Circuit Road,33988.5,,,,34452.4399,,,34452.44,3BE7F742E46135F2,Point,370080,11/4/2016 2:23:25 PM,Circuit Road,,33988.5,80,HUP Reconfiguration
103.807943567416,1.27391379857145,HAWKERCENTRE.39,Blk 82 Telok Blangah Drive,25175.96,,,,28488.4499,,,28488.45,1EB09A2220939DBD,Point,100082,11/4/2016 2:23:25 PM,Telok Blangah Drive,,25175.96,82,HUP Standard Upgrading
103.871620273635,1.31502804429604,HAWKERCENTRE.40,Blk 17 Upper Boon Keng Road,32262.61,,,,33034.6699,,,33034.67,5A26A7AC997077D9,Point,380017,11/4/2016 2:23:25 PM,Upper Boon Keng Road,,32262.61,17,HUP Standard Upgrading
103.863021377531,1.31921699786887,HAWKERCENTRE.41,Blk 29 Bendemeer Road,31305.6299,,,,33497.8499,,,33497.85,A7DB5A3EC43E67EC,Point,330029,11/4/2016 2:23:25 PM,Bendemeer Road,,31305.63,29,HUP Standard Upgrading
103.731579747132,1.34531247026836,HAWKERCENTRE.42,Blk 347 Jurong East Ave 1,16677.58,,,,36383.57,,,36383.57,6C864243950B815E,Point,600347,11/4/2016 2:23:25 PM,Jurong East Ave 1,,16677.58,347,HUP Standard Upgrading
103.770836740843,1.31436772839414,HAWKERCENTRE.43,Blk 353 Clementi Ave 2,21046.37,,,,32961.71,,,32961.71,42176A302AD9A083,Point,120353,11/4/2016 2:23:25 PM,Clementi Ave 2,,21046.37,353,HUP Standard Upgrading
103.742891623681,1.32084835041732,HAWKERCENTRE.44,Blk 37A Teban Gardens Road,17936.37,,,,33678.4,,,33678.4,D50987C7994A4FAE,Point,601037,11/4/2016 2:23:25 PM,Teban Gardens Road,,17936.37,37A,HUP Rebuilding
